Yamaha yzf-r125;1.800;2008;65000 km;17375756;https://www.avto.net//Ads/details.asp?id=17375756&display=Yamaha%20yzf-r125
Yamaha Yzf r125;3.000;2010;33814 km;17375535;https://www.avto.net//Ads/details.asp?id=17375535&display=Yamaha%20Yzf%20r125
Yamaha R1;3.850;2005;54000 km;17375164;https://www.avto.net//Ads/details.asp?id=17375164&display=Yamaha%20R1
Yamaha YZF-R125;4.600;2018;14000 km;17363969;https://www.avto.net//Ads/details.asp?id=17363969&display=Yamaha%20YZF-R125
Yamaha R1;2.500;2001;45 km;17345801;https://www.avto.net//Ads/details.asp?id=17345801&display=Yamaha%20R1
Yamaha r1 25kw ;3.150;2000;42000 km;17330434;https://www.avto.net//Ads/details.asp?id=17330434&display=Yamaha%20r1%2025kw%20
Yamaha R1;3.450;2003;55550 km;17322836;https://www.avto.net//Ads/details.asp?id=17322836&display=Yamaha%20R1
Yamaha R1;5.900;2005;49427 km;17320246;https://www.avto.net//Ads/details.asp?id=17320246&display=Yamaha%20R1
Yamaha YZF-R125;2.600;2008;27115 km;17315640;https://www.avto.net//Ads/details.asp?id=17315640&display=Yamaha%20YZF-R125
Yamaha YZF R125;2.100;2011;44150 km;17312641;https://www.avto.net//Ads/details.asp?id=17312641&display=Yamaha%20YZF%20R125
Yamaha R125;2.500;2008;32500 km;17297175;https://www.avto.net//Ads/details.asp?id=17297175&display=Yamaha%20R125
Yamaha Yzf r1;2.800;2002;65000 km;17290713;https://www.avto.net//Ads/details.asp?id=17290713&display=Yamaha%20Yzf%20r1
Yamaha YZF R125;3.800;2018;13000 km;17251707;https://www.avto.net//Ads/details.asp?id=17251707&display=Yamaha%20YZF%20R125
Yamaha YZF-R125;5.499;NOVO;;17161137;https://www.avto.net//Ads/details.asp?id=17161137&display=Yamaha%20YZF-R125
Yamaha R1;2.800;2002;52000 km;17146136;https://www.avto.net//Ads/details.asp?id=17146136&display=Yamaha%20R1
Yamaha R125 World GP 60th Anniversary 2022;5.649;NOVO;;16995300;https://www.avto.net//Ads/details.asp?id=16995300&display=Yamaha%20R125%20World%20GP%2060th%20Anniversary%202022
Yamaha YZF R1;3.490;2002;64673 km;16979616;https://www.avto.net//Ads/details.asp?id=16979616&display=Yamaha%20YZF%20R1
Yamaha Yzf R1 RN 12;6.990;2004;23818 km;16927125;https://www.avto.net//Ads/details.asp?id=16927125&display=Yamaha%20Yzf%20R1%20RN%2012
Yamaha YZF-R125 2020 World GP 60th Anniversary;5.649;NOVO;;16882025;https://www.avto.net//Ads/details.asp?id=16882025&display=Yamaha%20YZF-R125%202020%20World%20GP%2060th%20Anniversary
Yamaha YZF-R125 WORLD GP 60th A. 2022 - NOVO;5.649;NOVO;;16815269;https://www.avto.net//Ads/details.asp?id=16815269&display=Yamaha%20YZF-R125%20WORLD%20GP%2060th%20A.%202022%20-%20NOVO
Yamaha YZF-R125 2022;5.499;NOVO;;14873956;https://www.avto.net//Ads/details.asp?id=14873956&display=Yamaha%20YZF-R125%202022
Yamaha YZF-R125 2022;5.499;NOVO;;13873840;https://www.avto.net//Ads/details.asp?id=13873840&display=Yamaha%20YZF-R125%202022
